approval_action,canonical_url,local_key,local_url,filename,wp_upload_month,attachment_ids,usage_types,usage_count,raw_variant_count,sample_usage_json,safety_note
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3232-websize.jpg,wordpress-migration/2024/06/DSF3232-websize.jpg,/media/wordpress-migration/2024/06/DSF3232-websize.jpg,DSF3232-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3235-websize.jpg,wordpress-migration/2024/06/DSF3235-websize.jpg,/media/wordpress-migration/2024/06/DSF3235-websize.jpg,DSF3235-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3240-websize.jpg,wordpress-migration/2024/06/DSF3240-websize.jpg,/media/wordpress-migration/2024/06/DSF3240-websize.jpg,DSF3240-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3249-websize.jpg,wordpress-migration/2024/06/DSF3249-websize.jpg,/media/wordpress-migration/2024/06/DSF3249-websize.jpg,DSF3249-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3253-websize.jpg,wordpress-migration/2024/06/DSF3253-websize.jpg,/media/wordpress-migration/2024/06/DSF3253-websize.jpg,DSF3253-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3254-websize.jpg,wordpress-migration/2024/06/DSF3254-websize.jpg,/media/wordpress-migration/2024/06/DSF3254-websize.jpg,DSF3254-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3255-websize.jpg,wordpress-migration/2024/06/DSF3255-websize.jpg,/media/wordpress-migration/2024/06/DSF3255-websize.jpg,DSF3255-websize.jpg,2024/06,,portfolio_embedded_media_url,4,4,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3256-websize.jpg,wordpress-migration/2024/06/DSF3256-websize.jpg,/media/wordpress-migration/2024/06/DSF3256-websize.jpg,DSF3256-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3263-websize.jpg,wordpress-migration/2024/06/DSF3263-websize.jpg,/media/wordpress-migration/2024/06/DSF3263-websize.jpg,DSF3263-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3268-websize.jpg,wordpress-migration/2024/06/DSF3268-websize.jpg,/media/wordpress-migration/2024/06/DSF3268-websize.jpg,DSF3268-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3270-websize.jpg,wordpress-migration/2024/06/DSF3270-websize.jpg,/media/wordpress-migration/2024/06/DSF3270-websize.jpg,DSF3270-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
import_file_and_create_or_reuse_media_asset,https://coveinterior.com/wp-content/uploads/2024/06/DSF3271-websize.jpg,wordpress-migration/2024/06/DSF3271-websize.jpg,/media/wordpress-migration/2024/06/DSF3271-websize.jpg,DSF3271-websize.jpg,2024/06,,portfolio_embedded_media_url,7,7,"[{""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}, {""type"": ""portfolio_embedded_media_url"", ""postType"": ""portfolio"", ""wpPostId"": 15948, ""slug"": ""private-villa-4"", ""title"": ""Private Villa 4""}]",download only; do not delete or update references during import approval step
