approval_action,wp_product_id,wp_parent_sku,wp_variant_id,wp_variant_sku,wp_attributes_json,node_variant_id,node_product_id,node_variant_sku,node_variant_name,match_method,match_status,old_wp_url,canonical_url,target_node_url,filename
set_variation_image,12939,12528,12948,12528,"[{""id"": 11, ""name"": ""Select capsule size"", ""slug"": ""pa_select-capsule-size"", ""option"": ""6x6 (big capsule)""}, {""id"": 12, ""name"": ""Select tray color"", ""slug"": ""pa_select-tray-color"", ""option"": ""Beige""}, {""id"": 13, ""name"": ""Select tray size"", ""slug"": ""pa_select-tray-size"", ""option"": ""Width 42.70 cm - Depth 35.00 cm - Height 4.50 cm""}]",210175,390122,12528,6x6 (big capsule) / Beige / Width 42.70 cm - Depth 35.00 cm - Height 4.50 cm,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/08/country-112-4x4-1.jpg,https://coveinterior.com/wp-content/uploads/2023/08/country-112-4x4-1.jpg,/media/wordpress-migration/2023/08/country-112-4x4-1.jpg,country-112-4x4-1.jpg
set_variation_image,12939,12528,12941,12528,"[{""id"": 11, ""name"": ""Select capsule size"", ""slug"": ""pa_select-capsule-size"", ""option"": ""4x4 (small capsule)""}, {""id"": 12, ""name"": ""Select tray color"", ""slug"": ""pa_select-tray-color"", ""option"": ""Beige""}, {""id"": 13, ""name"": ""Select tray size"", ""slug"": ""pa_select-tray-size"", ""option"": ""Width 42.70 cm - Depth 35.00 cm - Height 4.50 cm""}]",210168,390122,12528,4x4 (small capsule) / Beige / Width 42.70 cm - Depth 35.00 cm - Height 4.50 cm,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/08/country-112-4x4-1.jpg,https://coveinterior.com/wp-content/uploads/2023/08/country-112-4x4-1.jpg,/media/wordpress-migration/2023/08/country-112-4x4-1.jpg,country-112-4x4-1.jpg
set_variation_image,12939,12528,12961,12528,"[{""id"": 11, ""name"": ""Select capsule size"", ""slug"": ""pa_select-capsule-size"", ""option"": ""6x6 (big capsule)""}, {""id"": 12, ""name"": ""Select tray color"", ""slug"": ""pa_select-tray-color"", ""option"": ""Gray""}, {""id"": 13, ""name"": ""Select tray size"", ""slug"": ""pa_select-tray-size"", ""option"": ""Width 36.30 cm - Depth 36.70 cm - Height 4.00 cm""}]",210188,390122,12528,6x6 (big capsule) / Gray / Width 36.30 cm - Depth 36.70 cm - Height 4.00 cm,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/08/classic-157-225-4x4-1.jpg,https://coveinterior.com/wp-content/uploads/2023/08/classic-157-225-4x4-1.jpg,/media/wordpress-migration/2023/08/classic-157-225-4x4-1.jpg,classic-157-225-4x4-1.jpg
set_variation_image,12939,12528,12954,12528,"[{""id"": 11, ""name"": ""Select capsule size"", ""slug"": ""pa_select-capsule-size"", ""option"": ""4x4 (small capsule)""}, {""id"": 12, ""name"": ""Select tray color"", ""slug"": ""pa_select-tray-color"", ""option"": ""Gray""}, {""id"": 13, ""name"": ""Select tray size"", ""slug"": ""pa_select-tray-size"", ""option"": ""Width 36.30 cm - Depth 36.70 cm - Height 4.00 cm""}]",210181,390122,12528,4x4 (small capsule) / Gray / Width 36.30 cm - Depth 36.70 cm - Height 4.00 cm,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/08/classic-157-225-4x4-1.jpg,https://coveinterior.com/wp-content/uploads/2023/08/classic-157-225-4x4-1.jpg,/media/wordpress-migration/2023/08/classic-157-225-4x4-1.jpg,classic-157-225-4x4-1.jpg
set_variation_image,12939,12528,12947,12528,"[{""id"": 11, ""name"": ""Select capsule size"", ""slug"": ""pa_select-capsule-size"", ""option"": ""6x6 (big capsule)""}, {""id"": 12, ""name"": ""Select tray color"", ""slug"": ""pa_select-tray-color"", ""option"": ""Beige""}, {""id"": 13, ""name"": ""Select tray size"", ""slug"": ""pa_select-tray-size"", ""option"": ""Width 36.30 cm - Depth 36.70 cm - Height 4.00 cm""}]",210174,390122,12528,6x6 (big capsule) / Beige / Width 36.30 cm - Depth 36.70 cm - Height 4.00 cm,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/08/classic-157-225-4x4-1.jpg,https://coveinterior.com/wp-content/uploads/2023/08/classic-157-225-4x4-1.jpg,/media/wordpress-migration/2023/08/classic-157-225-4x4-1.jpg,classic-157-225-4x4-1.jpg
set_variation_image,12939,12528,12940,12528,"[{""id"": 11, ""name"": ""Select capsule size"", ""slug"": ""pa_select-capsule-size"", ""option"": ""4x4 (small capsule)""}, {""id"": 12, ""name"": ""Select tray color"", ""slug"": ""pa_select-tray-color"", ""option"": ""Beige""}, {""id"": 13, ""name"": ""Select tray size"", ""slug"": ""pa_select-tray-size"", ""option"": ""Width 36.30 cm - Depth 36.70 cm - Height 4.00 cm""}]",210167,390122,12528,4x4 (small capsule) / Beige / Width 36.30 cm - Depth 36.70 cm - Height 4.00 cm,wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2023/08/classic-157-225-4x4-1.jpg,https://coveinterior.com/wp-content/uploads/2023/08/classic-157-225-4x4-1.jpg,/media/wordpress-migration/2023/08/classic-157-225-4x4-1.jpg,classic-157-225-4x4-1.jpg
set_variation_image,12745,12745,12746,12745,"[{""id"": 3, ""name"": ""Size"", ""slug"": ""pa_size"", ""option"": ""Width 157cm, Depth 53cm, Height 86cm""}, {""id"": 6, ""name"": ""Select steel"", ""slug"": ""pa_steel-selected"", ""option"": ""Gold""}, {""id"": 4, ""name"": ""Select top surface"", ""slug"": ""pa_top-selected"", ""option"": ""Solid top""}]",180068,390120,12745,"Width 157cm, Depth 53cm, Height 86cm / Gold / Solid top",wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gold.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gold.jpg,/media/wordpress-migration/2021/07/classic-157-gold.jpg,classic-157-gold.jpg
set_variation_image,12465,12465,12466,9221-1-1,"[{""id"": 3, ""name"": ""Size"", ""slug"": ""pa_size"", ""option"": ""Width 157cm, Depth 53cm, Height 86cm""}, {""id"": 6, ""name"": ""Select steel"", ""slug"": ""pa_steel-selected"", ""option"": ""Gold""}, {""id"": 4, ""name"": ""Select top surface"", ""slug"": ""pa_top-selected"", ""option"": ""Clear glass""}]",180092,210109,9221-1-1,"Width 157cm, Depth 53cm, Height 86cm / Gold / Clear glass",wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gold.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gold.jpg,/media/wordpress-migration/2021/07/classic-157-gold.jpg,classic-157-gold.jpg
set_variation_image,12438,12438,12439,9221-1,"[{""id"": 3, ""name"": ""Size"", ""slug"": ""pa_size"", ""option"": ""Width 157cm, Depth 53cm, Height 86cm""}, {""id"": 6, ""name"": ""Select steel"", ""slug"": ""pa_steel-selected"", ""option"": ""Gold""}, {""id"": 4, ""name"": ""Select top surface"", ""slug"": ""pa_top-selected"", ""option"": ""Clear glass""}]",180098,210113,9221-1,"Width 157cm, Depth 53cm, Height 86cm / Gold / Clear glass",wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gold.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gold.jpg,/media/wordpress-migration/2021/07/classic-157-gold.jpg,classic-157-gold.jpg
set_variation_image,1204,1204,9221,9221,"[{""id"": 3, ""name"": ""Size"", ""slug"": ""pa_size"", ""option"": ""Width 157cm, Depth 53cm, Height 86cm""}, {""id"": 1, ""name"": ""Select color"", ""slug"": ""pa_color"", ""option"": ""157 Classic Gold""}, {""id"": 6, ""name"": ""Select steel"", ""slug"": ""pa_steel-selected"", ""option"": ""Gold""}]",210307,30161,9221,"Width 157cm, Depth 53cm, Height 86cm / 157 Classic Gold / Gold",wc_variant_id,multiple_node_variant_matches,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gold.jpg,https://coveinterior.com/wp-content/uploads/2021/07/classic-157-gold.jpg,/media/wordpress-migration/2021/07/classic-157-gold.jpg,classic-157-gold.jpg
