approval_action,wp_product_id,wp_sku,wp_product_name,gallery_position,node_product_id,node_product_name,node_product_status,match_status,old_wp_url,canonical_url,target_node_url,filename
set_product_gallery_image,12686,12686,Roshina 3 Light Blue store,1,390116,Roshina 3 Light Blue store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-2.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-2.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-2.jpg,Roshina-3-Light-blue-2.jpg
set_product_gallery_image,12678,12678,Roshina 3 Light Blue,2,390115,Roshina 3 Light Blue,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-2.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-2.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-2.jpg,Roshina-3-Light-blue-2.jpg
set_product_gallery_image,14250,12537,Roshina 3 Light Blue event,2,390145,Roshina 3 Light Blue event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-light-blue-4.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-light-blue-4.jpg,/media/wordpress-migration/2023/07/Roshina-3-light-blue-4.jpg,Roshina-3-light-blue-4.jpg
set_product_gallery_image,12686,12686,Roshina 3 Light Blue store,2,390116,Roshina 3 Light Blue store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-light-blue-4.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-light-blue-4.jpg,/media/wordpress-migration/2023/07/Roshina-3-light-blue-4.jpg,Roshina-3-light-blue-4.jpg
set_product_gallery_image,12678,12678,Roshina 3 Light Blue,3,390115,Roshina 3 Light Blue,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-light-blue-4.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-light-blue-4.jpg,/media/wordpress-migration/2023/07/Roshina-3-light-blue-4.jpg,Roshina-3-light-blue-4.jpg
set_product_gallery_image,14250,12537,Roshina 3 Light Blue event,3,390145,Roshina 3 Light Blue event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-3.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-3.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-3.jpg,Roshina-3-Light-blue-3.jpg
set_product_gallery_image,12686,12686,Roshina 3 Light Blue store,3,390116,Roshina 3 Light Blue store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-3.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-3.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-3.jpg,Roshina-3-Light-blue-3.jpg
set_product_gallery_image,12678,12678,Roshina 3 Light Blue,1,390115,Roshina 3 Light Blue,active,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-3.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Light-blue-3.jpg,/media/wordpress-migration/2023/07/Roshina-3-Light-blue-3.jpg,Roshina-3-Light-blue-3.jpg
set_product_main_image,14242,12535,Roshina 3 Maroon event,0,390144,Roshina 3 Maroon event,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-1.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-1.jpg,Roshina-3-Maroon-1.jpg
set_product_main_image,12702,12702,Roshina 3 Maroon store,0,390118,Roshina 3 Maroon store,archived,matched,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-1.jpg,https://coveinterior.com/wp-content/uploads/2023/07/Roshina-3-Maroon-1.jpg,/media/wordpress-migration/2023/07/Roshina-3-Maroon-1.jpg,Roshina-3-Maroon-1.jpg
