url,httpUrl,ok,status,contentLength,contentType,error
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-BEIGE.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-BEIGE.jpg","true","200","134263","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-BLUE.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-BLUE.jpg","true","200","111393","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-GRAY.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-GRAY.jpg","true","200","117034","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-GREEN.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-GREEN.jpg","true","200","121721","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-PINK.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-PINK.jpg","true","200","122250","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-RED.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-RED.jpg","true","200","109262","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-WHITE-1.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-WHITE-1.jpg","true","200","127270","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-WHITE.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-167-WHITE.jpg","true","200","88424","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-62-BEECH.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-62-BEECH.jpg","true","200","138061","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-62-BEIGE.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-62-BEIGE.jpg","true","200","134263","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-62-BLACK.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-62-BLACK.jpg","true","200","104370","image/jpeg",""
"/media/wordpress-migration/2022/07/DETAILS-COUNTRY-62-BLUE.jpg","https://app.coveinterior.com/media/wordpress-migration/2022/07/DETAILS-COUNTRY-62-BLUE.jpg","true","200","111393","image/jpeg",""
