candidateId,kind,mediaAssetId,url,filesystemPath,onDisk,fileSizeBytes,sourceUrl,mimeType,sha256,originalFilename,createdAt,updatedAt,classification,recommendation,reason,approvalRequired,usageCountTotal,usageCountCommerceActive,usageCountCmsActive,usageCountHistoricalOrder,referencedAt
"media_asset:432","media_asset","432","/media/wordpress-migration/2022/07/IMG_0314.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0314.jpg","true","217530","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0314.jpg","image/jpeg","a69f4a2d3e07173489eee632b81fc42aaee66679d4153703feb5e67e34c5be8a","IMG_0314.jpg","Mon Jun 01 2026 21:02:13 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:13 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:433","media_asset","433","/media/wordpress-migration/2022/07/IMG_0316.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0316.jpg","true","329307","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0316.jpg","image/jpeg","9fa8e35f207183a7908d6525e3da98221ac10dabb45a501f203215ed43078450","IMG_0316.jpg","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:434","media_asset","434","/media/wordpress-migration/2022/07/IMG_0319.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0319.jpg","true","252990","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0319.jpg","image/jpeg","af3b5deb0dd3cebd80542e7486e214960e3a4c9ce299731c2e370d47eaf8b2e9","IMG_0319.jpg","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:435","media_asset","435","/media/wordpress-migration/2022/07/IMG_0322.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0322.jpg","true","201019","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0322.jpg","image/jpeg","51fa8f20afdaafd708f482da614efd25a55d856457df9fb75e601d9f8964719b","IMG_0322.jpg","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:436","media_asset","436","/media/wordpress-migration/2022/07/IMG_0339.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0339.jpg","true","230248","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0339.jpg","image/jpeg","eb258ef62edee7bdb69f0653ad3f7919b5d7f82301794613d0ecd9c22c64bea2","IMG_0339.jpg","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:437","media_asset","437","/media/wordpress-migration/2022/07/IMG_0341.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0341.jpg","true","180123","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0341.jpg","image/jpeg","7534805dbe32a32c4a334edce84be4a7b668a4dcfbba6f3881f9516368ac9a34","IMG_0341.jpg","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:438","media_asset","438","/media/wordpress-migration/2022/07/IMG_0345.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0345.jpg","true","338550","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0345.jpg","image/jpeg","0511981df69d28d2aad98b65b1fa00082d3a01251c8e6ce9072ce065a46cac4a","IMG_0345.jpg","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:14 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:439","media_asset","439","/media/wordpress-migration/2022/07/IMG_0346.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0346.jpg","true","198616","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0346.jpg","image/jpeg","16737d02dd079d740efb37cfcea73ea414bd3eb9138788efafbf239981657d6d","IMG_0346.jpg","Mon Jun 01 2026 21:02:15 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:15 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:440","media_asset","440","/media/wordpress-migration/2022/07/IMG_0353.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0353.jpg","true","136791","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0353.jpg","image/jpeg","504d22315cbc86a54af55d936b239d82cfed366711f37f519a5eb5372db97c5c","IMG_0353.jpg","Mon Jun 01 2026 21:02:15 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:15 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
"media_asset:441","media_asset","441","/media/wordpress-migration/2022/07/IMG_0354.jpg","/home/manus/cove-storefront/public/media/wordpress-migration/2022/07/IMG_0354.jpg","true","176348","https://coveinterior.com/wp-content/uploads/2022/07/IMG_0354.jpg","image/jpeg","4acbba90f11b608d611587fcd3d4f0b4e271357100ae86e39c6cce3cf97c5f9c","IMG_0354.jpg","Mon Jun 01 2026 21:02:15 GMT+0000 (Coordinated Universal Time)","Mon Jun 01 2026 21:02:15 GMT+0000 (Coordinated Universal Time)","cleanup_candidate_review_only","candidate_for_media_library_record_and_filesystem_file_deletion_after_explicit_row_level_approval","wordpress_migration_asset_has_media_library_record_and_file_but_no_detected_references","yes","0","0","0","0",""
